file_type,identifier
docling,UDOEAE
docling,NANTVT
docling,ISHRRA
docling,MEAP-4
docling,EDWISA
docling,JACDFA-5
docling,GIOASS
docling,GRAHR-2
docling,MORDBI
docling,MALTEO-48
docling,LENWTA
docling,DICTNF
docling,CHRARP-4
docling,ISHLML
docling,MCCCAS-6
docling,ROSTSN
docling,PRUTEP-2
docling,CARLIO-5
docling,SHAROJ-3
docling,BRITSD-2
docling,PANNAP
docling,ARJPTD
docling,MALWCP-3
docling,NIEOTB-2
docling,SHAATC-6
docling,LENTPM
docling,BARHDD-2
docling,RANQZA
docling,JEOPAA-3
docling,LAIUCE
docling,MORKYL
docling,MOOWAT-7
docling,FIAJPO
docling,NEIPOT-2
docling,FUNCPA-3
docling,STEQID-2
docling,BROCEI-6
docling,KIERAN
docling,DACISM
docling,SIFN
docling,FRECAA
docling,IHUIOR
docling,CHAEMA-5
docling,KWOSAM
docling,BLAAAI-9
docling,KYAISO
docling,FILENV
docling,TAGLTE-5
docling,GHIPNA
docling,BIAITR
docling,KINWIA-4
docling,SIEDVE
docling,AZARIN
docling,NANPIN
docling,CHAACS-6
docling,RIEGLA
docling,LANRIA-2
docling,LAMFFT
docling,GONEYE-3
docling,SIVDTI
docling,SANAOT-6
docling,DUOTRB-2
docling,BERCWN
docling,ENGPCA
docling,NANNAT
docling,NOGRRA-2
docling,NOBWSH
docling,CAMRTA-3
docling,MALAFA-5
docling,SERFLT-2
docling,RUHGAL
docling,VENECD-2
docling,PAGREI
docling,COLQ
docling,KINRDI
docling,LENSRM
docling,CLAFRA-3
docling,CRAIOT-3
docling,MAHRGJ
docling,DRECBN
docling,TUCSAG
docling,FRASBS
docling,EMBPTI
docling,COODTB-3
docling,AKILAD
docling,ANNURF
docling,KHUACA
docling,ATHCWS
docling,MACZPA
docling,MOTRRA
docling,DAVPTI-3
docling,MOOSAS
docling,BOSCGR
docling,CHATPO-129
docling,BOSEOT-3
docling,BURADL-2
docling,THRGAA
docling,KOCPAA-3
docling,ASIWRC
docling,HARNOT-15
docling,BOECQE
docling,FORDHG
docling,WELLFK
docling,HAUIBG
docling,MAXSVR
docling,ALPSAM-2
docling,FRATEO-45
docling,KNIIIA-2
docling,MAHIET-2
