identifier,cluster|year|category
GORHOS,"39|Q1|11/12th Century Philosophy, Misc"
REAETW,39|Q1|13th/14th Century Philosophy
KORCPI,"39|Q1|15th/16th Century Philosophy, Misc"
MCRMST-2,"39|Q1|17th/18th Century British Philosophy, Misc"
WERSS-2,39|Q1|Animal Rights
PRIOFO,"39|Q3|M&E, Misc"
DANEO,"39|Q1|17th/18th Century Philosophy, Miscellaneous"
MONDOF,39|Q1|nan
MILKPD,"39|Q1|19th Century German Philosophy, Misc"
BRAMOO-2,39|Q1|Economics
GIRDHO,"39|Q1|20th Century American Pragmatism, Misc"
HARDOS-3,"39|Q2|13th/14th Century Philosophy, Misc"
STEGPD-9,"39|Q2|15th/16th Century Philosophy, Misc"
ANTRSW,39|Q2|17th/18th Century Philosophy
LOLJEM,"39|Q2|17th/18th Century Philosophy, Miscellaneous"
SHASOC-10,39|Q1|Assisted Suicide
MARLDD-44,"39|Q2|19th Century German Philosophy, Misc"
MLLAKR,39|Q2|Robotics
HAGOLG,39|Q3|13th/14th Century Philosophy
CIOHSC,"39|Q3|13th/14th Century Philosophy, Misc"
WESMPT,"39|Q3|17th/18th Century British Philosophy, Misc"
STATMO-28,"39|Q3|17th/18th Century French Philosophy, Misc"
JOHTPA-17,39|Q1|Scientific Practice
LOVTUS,39|Q1|Moral Contractarianism
HAUAGT,39|Q3|19th Century German Philosophy
HARDOS-7,"39|Q4|13th/14th Century Philosophy, Misc"
DUNEMA,"39|Q4|17th/18th Century British Philosophy, Misc"
STRAJH,39|Q4|17th/18th Century Philosophy
BARROD-5,"39|Q4|19th Century American Philosophy, Misc"
MOYTPA-2,39|Q4|19th Century German Philosophy
BAGHP,"39|Q4|20th Century American Pragmatism, Misc"
HOCASA-3,43|Q1|13th/14th Century Philosophy
JENEDA-2,"43|Q1|17th/18th Century British Philosophy, Misc"
MAXTEP,43|Q1|17th/18th Century Philosophy
MOLAUH,"43|Q1|18th Century German Philosophy, Misc"
GORSMA-2,"43|Q1|19th Century German Philosophy, Misc"
